Statistic	Value
Total videos	14
Total views	521,551,316
Total likes	4,781,742
Total dislikes	0
Total comments	334,042
Total video length	    51m 44s 
Average video length	    3m 41s 
Videos with geolocation	0
Videos with recordingDate	0
Videos with tags	12
Videos with language	1
Videos with audio language	3
Videos with localizations	1
Videos with content rating(s)	0
Videos with region restriction(s)	1
Videos with captions	1
Videos with comments disabled	0
Videos with likes disabled	0
Videos with views disabled	0
Videos considered livestreams	1
Videos with license=creativeCommon	0
Videos with privacyStatus=unlisted	0
Videos with madeForKids=true	0
Videos with embeddable=false	0
Videos with dimension=3d	0
Videos with projection=360	0